"prey_class","prey_order","prey_family","prey_sp","measure","l_adult","l_juve","l_larva","larva_adult","juve_adult","larva_adult_u","juve_adult_u","larva_adult_use","juve_adult_use"
"Actinopterygii","Argentiniformes","Bathylagidae","Bathylagoides wesethi","l_max",15.7127376077956,NA,2.5,15.9106583614027,NA,18.3359303556639,42.1173584659917,15.9106583614027,42.1173584659917
"Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus stilbius","l_max",15,NA,3.11418035248877,20.7612023499251,NA,18.3359303556639,42.1173584659917,20.7612023499251,42.1173584659917
"Actinopterygii","Ateleopodiformes","Ateleopodidae","Ateleopus natalensis","l_max",60,25.8,NA,NA,43,9.15408758669817,43,9.15408758669817,43
"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","l_max",45,16,2.36274848635629,5.25055219190287,35.5555555555556,5.25055219190287,35.5555555555556,5.25055219190287,35.5555555555556
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus ferox","l_max",215,NA,NA,NA,NA,10.4054536978785,40.2230160108363,10.4054536978785,40.2230160108363
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus nikparini","l_max",146,43,NA,NA,29.4520547945205,5.20833333333335,54.2572773972605,5.20833333333335,29.4520547945205
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus pharao","l_max",103.466278573886,81.803026497479,5.38886867572325,5.20833333333335,79.0625000000004,5.20833333333335,54.2572773972605,5.20833333333335,79.0625000000004
"Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","l_max",40,11.5,3,7.5,28.75,7.5,28.75,7.5,28.75
"Actinopterygii","Aulopiformes","Notosudidae","Scopelosaurus hoedti","l_max",15.7987346714369,NA,NA,NA,NA,10.4054536978785,40.2230160108363,10.4054536978785,40.2230160108363
"Actinopterygii","Aulopiformes","Omosudidae","Omosudis lowii","l_max",26.635115813539,NA,2,7.50888418883229,NA,7.50888418883229,40.2230160108363,7.50888418883229,40.2230160108363
"Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","l_max",32.7477223252604,NA,1.52822704184549,4.66666666666668,NA,10.9322069467605,36.0741393203333,4.66666666666668,36.0741393203333
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops ringens","l_max",21,NA,4.00053647638855,19.0501736970883,NA,10.9322069467605,36.0741393203333,19.0501736970883,36.0741393203333
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops similis","l_max",20,NA,NA,NA,NA,10.9322069467605,36.0741393203333,10.9322069467605,36.0741393203333
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","l_max",29.0333441681739,18.6028464484966,5.41955757805913,18.6666666666667,64.074074074074,10.9322069467605,36.0741393203333,18.6666666666667,64.074074074074
"Actinopterygii","Aulopiformes","Paralepididae","Lestrolepis intermedia","l_max",36.0761118547275,NA,4,11.0876693589025,NA,10.9322069467605,36.0741393203333,11.0876693589025,36.0741393203333
"Actinopterygii","Aulopiformes","Paralepididae","Macroparalepis affinis","l_max",55,NA,NA,NA,NA,10.9322069467605,36.0741393203333,10.9322069467605,36.0741393203333
"Actinopterygii","Aulopiformes","Paralepididae","Magnisudis atlantica","l_max",63.5833173002259,11.0135388895034,3.97395733126412,6.25,17.3214285714285,10.9322069467605,36.0741393203333,6.25,17.3214285714285
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis coregonoides","l_max",56.1982852085063,12.87,3.3,5.87206529123865,22.9010546358307,10.9322069467605,36.0741393203333,5.87206529123865,22.9010546358307
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis speciosa","l_max",NA,NA,NA,NA,NA,10.9322069467605,36.0741393203333,10.9322069467605,36.0741393203333
"Actinopterygii","Aulopiformes","Paralepididae","Sudis hyalina","l_max",100,40,NA,NA,40,10.9322069467605,36.0741393203333,10.9322069467605,40
"Actinopterygii","Aulopiformes","Scopelarchidae","Scopelarchus analis","l_max",14.0319507043528,NA,2.56,18.2440777760563,NA,18.2440777760563,40.2230160108363,18.2440777760563,40.2230160108363
"Actinopterygii","Beloniformes","Belonidae","Belone belone","l_max",103.5,28.5,2.23,2.15458937198068,27.536231884058,5.21105964980475,27.536231884058,2.15458937198068,27.536231884058
"Actinopterygii","Beloniformes","Belonidae","Strongylura exilis","l_max",91,NA,7.52345223414224,8.26752992762883,NA,5.21105964980475,27.536231884058,8.26752992762883,27.536231884058
"Actinopterygii","Beloniformes","Scomberesocidae","Cololabis saira","l_max",44.7516792857244,25.3965779946486,4.47516792857244,10,56.75,7.5,38.375,10,56.75
"Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox saurus","l_max",55.7063187335586,11.1412637467117,2.78531593667793,5,20,7.5,38.375,5,20
"Actinopterygii","Beryciformes","Berycidae","Beryx splendens","l_max",70,33.2,1.90615071157445,2.72307244510636,47.4285714285714,2.72307244510636,47.4285714285714,2.72307244510636,47.4285714285714
"Actinopterygii","Beryciformes","Diretmidae","Diretmus argenteus","l_max",27.6,NA,2.00412035591945,7.26130563738931,NA,7.26130563738931,47.4285714285714,7.26130563738931,47.4285714285714
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","l_max",46,21.4,3.15104701063738,6.85010219703778,46.5217391304348,6.86099776355224,40.2357282233451,6.85010219703778,46.5217391304348
"Actinopterygii","Clupeiformes","Clupeidae","Sardina pilchardus","l_max",27.5,14.2,2.48,9.01818181818182,51.6363636363636,6.86099776355224,40.2357282233451,9.01818181818182,51.6363636363636
"Actinopterygii","Clupeiformes","Clupeidae","Sardinella aurita","l_max",36,14.4,1.96168491378301,5.44912476050836,40,6.86099776355224,40.2357282233451,5.44912476050836,40
"Actinopterygii","Clupeiformes","Clupeidae","Sardinops sagax","l_max",47.309269313544,10.7793271853644,2.89844130984244,6.12658227848101,22.7848101265822,6.86099776355224,40.2357282233451,6.12658227848101,22.7848101265822
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis capensis","l_max",15.3617088191079,9.5,NA,NA,61.8420783251879,12.2660925374482,48.3115500472468,12.2660925374482,61.8420783251879
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis encrasicolus","l_max",23.5535435247491,11.4234686095033,1.76651576435618,7.49999999999999,48.4999999999999,12.2660925374482,48.3115500472468,7.49999999999999,48.4999999999999
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis japonicus","l_max",18,7.955,2.37046416377041,13.1692453542801,44.1944444444444,12.2660925374482,48.3115500472468,13.1692453542801,44.1944444444444
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis mordax","l_max",29.1319362246502,11.2768785385743,4.69869939107262,16.1290322580645,38.7096774193549,12.2660925374482,48.3115500472468,16.1290322580645,38.7096774193549
"Actinopterygii","Gadiformes","Bregmacerotidae","Bregmaceros mcclellandi","l_max",10.5335310014569,NA,NA,NA,NA,4.54964248169341,34.4913628905432,4.54964248169341,34.4913628905432
"Actinopterygii","Gadiformes","Gadidae","Microgadus proximus","l_max",36.8008926583896,5.62269376354411,3.37844260470462,9.18032786885246,15.2786885245901,5.26583961010191,21.1528577758086,9.18032786885246,15.2786885245901
"Actinopterygii","Gadiformes","Gadidae","Micromesistius poutassou","l_max",55.5,15,0.75,1.35135135135135,27.027027027027,5.26583961010191,21.1528577758086,1.35135135135135,27.027027027027
"Actinopterygii","Gadiformes","Lotidae","Gaidropsarus vulgaris","l_max",65,27,2,3.07692307692308,41.5384615384615,3.07692307692308,41.5384615384615,3.07692307692308,41.5384615384615
"Actinopterygii","Gadiformes","Merlucciidae","Merluccius productus","l_max",91,34,4.17687054297855,4.58996762964676,37.3626373626374,4.58996762964676,37.3626373626374,4.58996762964676,37.3626373626374
"Actinopterygii","Gadiformes","Moridae","Antimora rostrata","l_max",80,41,NA,NA,51.25,4.54964248169341,51.25,4.54964248169341,51.25
"Actinopterygii","Lampriformes","Trachipteridae","Desmodema polystictum","l_max",110,NA,2.75,2.5,NA,2.32579518206717,60,2.5,60
"Actinopterygii","Lampriformes","Trachipteridae","Trachipterus trachypterus","l_max",300,180,6.45477109240301,2.15159036413434,60,2.32579518206717,60,2.15159036413434,60
"Actinopterygii","Lophiiformes","Ceratiidae","Ceratias tentaculatus","l_max",88,NA,NA,NA,NA,9.15408758669817,42.1173584659917,9.15408758669817,42.1173584659917
"Actinopterygii","Myctophiformes","Myctophidae","Benthosema glaciale","l_max",13.392827940037,6.17630414710442,1.65134868775213,12.3300970873786,46.1165048543688,17.3397107607587,55.0321262222587,12.3300970873786,46.1165048543688
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus maderensis","l_max",10.5322651117163,4.55097875197619,2.34050335815918,22.2222222222222,43.20987654321,17.3397107607587,55.0321262222587,22.2222222222222,43.20987654321
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus townsendi","l_max",18.4,NA,1.87890584802416,10.2114448262183,NA,17.3397107607587,55.0321262222587,10.2114448262183,55.0321262222587
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus warmingii","l_max",10.7234943571089,4.63360867282483,2.3829987460242,22.2222222222222,43.2098765432099,17.3397107607587,55.0321262222587,22.2222222222222,43.2098765432099
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus effulgens","l_max",6.05651485090635,NA,NA,NA,NA,17.3397107607587,55.0321262222587,17.3397107607587,55.0321262222587
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus lucidus","l_max",14.8054573546932,9,NA,NA,60.7883956867234,17.3397107607587,55.0321262222587,17.3397107607587,60.7883956867234
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus luetkeni","l_max",10.3319749837103,4.81376107195593,NA,NA,46.590909090909,17.3397107607587,55.0321262222587,17.3397107607587,46.590909090909
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus ostenfeldi","l_max",15.1991531126716,NA,NA,NA,NA,17.3397107607587,55.0321262222587,17.3397107607587,55.0321262222587
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus perspicillatus","l_max",8.75602566659639,5,NA,NA,57.1035329313234,17.3397107607587,55.0321262222587,17.3397107607587,57.1035329313234
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus theta","l_max",11.4,5.5,1.37,12.0175438596491,48.2456140350877,17.3397107607587,55.0321262222587,12.0175438596491,48.2456140350877
"Actinopterygii","Myctophiformes","Myctophidae","Electrona risso","l_max",9.87679171420191,6.98602340760623,1.20448679441487,12.1951219512195,70.7317073170732,17.3397107607587,55.0321262222587,12.1951219512195,70.7317073170732
"Actinopterygii","Myctophiformes","Myctophidae","Hygophum hygomii","l_max",8.30730748030719,5.8,1.20944623610355,14.5588235294118,69.8180489135516,17.3397107607587,55.0321262222587,14.5588235294118,69.8180489135516
"Actinopterygii","Myctophiformes","Myctophidae","Lampadena luminosa","l_max",23.646008112028,15,0.65,2.74887836001953,63.4356544619891,17.3397107607587,55.0321262222587,2.74887836001953,63.4356544619891
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctodes hectoris","l_max",8.67830631766314,NA,1.78525158534785,20.5714285714286,NA,17.3397107607587,55.0321262222587,20.5714285714286,55.0321262222587
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus alatus","l_max",7.6399870245504,4.508844801374,1.81606248944231,23.7704918032787,59.0163934426229,17.3397107607587,55.0321262222587,23.7704918032787,59.0163934426229
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus crocodilus","l_max",36.5623221580871,12.1874407193624,2.4,6.56413449239616,33.3333333333334,17.3397107607587,55.0321262222587,6.56413449239616,33.3333333333334
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus intricarius","l_max",23.5757965890106,20.039427100659,2.40473125207908,10.2,85,17.3397107607587,55.0321262222587,10.2,85
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus mexicanus","l_max",NA,NA,NA,NA,NA,17.3397107607587,55.0321262222587,17.3397107607587,55.0321262222587
"Actinopterygii","Myctophiformes","Myctophidae","Lobianchia gemellarii","l_max",11.6327508512957,5.29296044801118,NA,NA,45.5005055611728,17.3397107607587,55.0321262222587,17.3397107607587,45.5005055611728
"Actinopterygii","Myctophiformes","Myctophidae","Myctophum asperum","l_max",8.5,7,1.54,18.1176470588235,82.3529411764706,17.3397107607587,55.0321262222587,18.1176470588235,82.3529411764706
"Actinopterygii","Myctophiformes","Myctophidae","Myctophum punctatum","l_max",13.094418579494,2.38080337808982,NA,NA,18.1818181818182,17.3397107607587,55.0321262222587,17.3397107607587,18.1818181818182
"Actinopterygii","Myctophiformes","Myctophidae","Nannobrachium regale","l_max",21,NA,2.28311847472327,10.8719927367775,NA,17.3397107607587,55.0321262222587,10.8719927367775,55.0321262222587
"Actinopterygii","Myctophiformes","Myctophidae","Nannobrachium ritteri","l_max",14.3728152487703,NA,2.03614882690913,14.1666666666667,NA,17.3397107607587,55.0321262222587,14.1666666666667,55.0321262222587
"Actinopterygii","Myctophiformes","Myctophidae","Notoscopelus kroyeri","l_max",17.2812688201792,11.3597151685094,NA,NA,65.7342657342657,17.3397107607587,55.0321262222587,17.3397107607587,65.7342657342657
"Actinopterygii","Myctophiformes","Myctophidae","Protomyctophum crockeri","l_max",4.55149002704557,NA,1.84519865961307,40.5405405405406,NA,17.3397107607587,55.0321262222587,40.5405405405406,55.0321262222587
"Actinopterygii","Myctophiformes","Myctophidae","Stenobrachius leucopsarus","l_max",13,6.5,2.3033876145252,17.7183662655785,50,17.3397107607587,55.0321262222587,17.7183662655785,50
"Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus barnardi","l_max",13.9839152931526,9.5,NA,NA,67.935194120146,17.3397107607587,55.0321262222587,17.3397107607587,67.935194120146
"Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus evermanni","l_max",9.50588222242958,NA,2.5071764361658,26.375,NA,17.3397107607587,55.0321262222587,26.375,55.0321262222587
"Actinopterygii","Myctophiformes","Myctophidae","Tarletonbeania crenularis","l_max",12.7,5,2.64507730737492,20.8273803730309,39.3700787401575,17.3397107607587,55.0321262222587,20.8273803730309,39.3700787401575
"Actinopterygii","Myctophiformes","Myctophidae","Triphoturus mexicanus","l_max",7.5,4.5,2.14231594862342,28.5642126483123,60,17.3397107607587,55.0321262222587,28.5642126483123,60
"Actinopterygii","Ophidiiformes","Aphyonidae","Barathronus parfaiti","l_max",10,NA,NA,NA,NA,17.3267326732673,42.1173584659917,17.3267326732673,42.1173584659917
"Actinopterygii","Ophidiiformes","Ophdiidae","Chilara taylori","l_max",40.4,NA,7,17.3267326732673,NA,17.3267326732673,42.1173584659917,17.3267326732673,42.1173584659917
"Actinopterygii","Osmeriformes","Microstomatidae","Nansenia macrolepis","l_max",20,NA,NA,NA,NA,12.7168836124561,47.0588235294118,12.7168836124561,47.0588235294118
"Actinopterygii","Osmeriformes","Opisthoproctidae","Monacoa grimaldii","l_max",9.92921468707971,NA,NA,NA,NA,12.7168836124561,47.0588235294118,12.7168836124561,47.0588235294118
"Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys pacificus","l_max",34,16,4.32374042823507,12.7168836124561,47.0588235294118,12.7168836124561,47.0588235294118,12.7168836124561,47.0588235294118
"Actinopterygii","Perciformes","Ammodytidae","Ammodytes tobianus","l_max",10.4557309147228,3.3981125472849,1.20240905519312,11.5,32.4999999999999,11.5,32.4999999999999,11.5,32.4999999999999
"Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys ocellatus","l_max",240,50,8.2,3.41666666666667,20.8333333333333,3.41666666666667,20.8333333333333,3.41666666666667,20.8333333333333
"Actinopterygii","Perciformes","Blenniidae","Blennius ocellaris","l_max",20,9.73,NA,NA,48.65,4.87857020853057,48.65,4.87857020853057,48.65
"Actinopterygii","Perciformes","Bramidae","Brama brama","l_max",100,NA,1.32037692000532,1.32037692000532,NA,1.85265311252924,31.5362637362637,1.32037692000532,31.5362637362637
"Actinopterygii","Perciformes","Bramidae","Brama orcini","l_max",42,NA,NA,NA,NA,1.85265311252924,31.5362637362637,1.85265311252924,31.5362637362637
"Actinopterygii","Perciformes","Bramidae","Pterycombus petersii","l_max",45.937961469899,12.6203190851371,1.11058807949206,2.41758241758241,27.4725274725275,1.85265311252924,31.5362637362637,2.41758241758241,27.4725274725275
"Actinopterygii","Perciformes","Bramidae","Taractes asper","l_max",68.4922046065368,24.3832248399271,1.24655812383897,1.82,35.6,1.85265311252924,31.5362637362637,1.82,35.6
"Actinopterygii","Perciformes","Caproidae","Antigonia capros","l_max",30.5,12,NA,NA,39.344262295082,4.87857020853057,33.3387978142077,4.87857020853057,39.344262295082
"Actinopterygii","Perciformes","Caproidae","Capros aper","l_max",30,8.2,NA,NA,27.3333333333333,4.87857020853057,33.3387978142077,4.87857020853057,27.3333333333333
"Actinopterygii","Perciformes","Carangidae","Decapterus macarellus","l_max",46,28.4836847673485,1.5,3.26086956521739,61.921053842062,2.83716522622231,39.0625189036153,3.26086956521739,61.921053842062
"Actinopterygii","Perciformes","Carangidae","Decapterus macrosoma","l_max",35,17.6,NA,NA,50.2857142857143,2.83716522622231,39.0625189036153,2.83716522622231,50.2857142857143
"Actinopterygii","Perciformes","Carangidae","Selene setapinnis","l_max",60,20.5,0.95,1.58333333333333,34.1666666666667,2.83716522622231,39.0625189036153,1.58333333333333,34.1666666666667
"Actinopterygii","Perciformes","Carangidae","Trachinotus ovatus","l_max",70,19.5,1.9,2.71428571428571,27.8571428571429,2.83716522622231,39.0625189036153,2.71428571428571,27.8571428571429
"Actinopterygii","Perciformes","Carangidae","Trachurus japonicus","l_max",50,17.1,1.32617249687705,2.6523449937541,34.2,2.83716522622231,39.0625189036153,2.6523449937541,34.2
"Actinopterygii","Perciformes","Carangidae","Trachurus symmetricus","l_max",81,25,1.99619279596024,2.4644355505682,30.8641975308642,2.83716522622231,39.0625189036153,2.4644355505682,30.8641975308642
"Actinopterygii","Perciformes","Carangidae","Trachurus trachurus","l_max",70,23.9,3.0434055401226,4.34772220017514,34.1428571428571,2.83716522622231,39.0625189036153,4.34772220017514,34.1428571428571
"Actinopterygii","Perciformes","Centrolophidae","Centrolophus niger","l_max",187.826915701525,56.8489464856616,NA,NA,30.2666666666667,4.23913043478261,30.2666666666667,4.23913043478261,30.2666666666667
"Actinopterygii","Perciformes","Centrolophidae","Icichthys lockingtoni","l_max",46,NA,1.95,4.23913043478261,NA,4.23913043478261,30.2666666666667,4.23913043478261,30.2666666666667
"Actinopterygii","Perciformes","Chiasmodontidae","Chiasmodon niger","l_max",29.9384245654508,NA,NA,NA,NA,4.87857020853057,36.7942330347152,4.87857020853057,36.7942330347152
