"StudyID","CiteYear","OceanBasin","OceanBasinQ","LocatName","LocatLatitude","LocatLongitude","MonthRange","YearEnd","stomachs_used","pred_life","lat_cat","pred_life_adjust","rep_ID","province","code","optional"
"Aloncle1973","1973.0","N Atlantic","NE Atlantic","NE Atlantic, Spain, France, Azores",44.632016,-5.5,"May–Sep",1971,"1754","juvenile","temperate","juvenile","Aloncle1973_1","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bello1999","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.096462,17.512247,"Sep–Oct",1992,"35","juvenile","temperate","juvenile","Bello1999_2","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"Bello1999","1999.0","Mediterranean","Mediterranean","SW Adriatic",41.2,17.512247,"Sep–Oct",1994,"21","juvenile","temperate","juvenile","Bello1999_3","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"Bernard1985","1985.0","N Pacific","NE Pacific","Southern CA",35.358333,-121.9083335,"Aug–Sep",1983,"94","juvenile","temperate","juvenile","Bernard1985_4","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1930,"9","juvenile, adult","temperate","mixed","Bouxin&Legendre_5","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1931,"25","juvenile, adult","temperate","mixed","Bouxin&Legendre_6","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1932,"35","juvenile, adult","temperate","mixed","Bouxin&Legendre_7","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Nov",1933,"54","juvenile, adult","temperate","mixed","Bouxin&Legendre_8","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Aug",1929,"6","juvenile, adult","temperate","mixed","Bouxin&Legendre_9","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1930,"6","juvenile, adult","temperate","mixed","Bouxin&Legendre_10","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1932,"54","juvenile, adult","temperate","mixed","Bouxin&Legendre_11","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Oct",1928,"1","juvenile, adult","temperate","mixed","Bouxin&Legendre_12","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1931,"9","juvenile, adult","temperate","mixed","Bouxin&Legendre_13","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Bouxin&Legendre","1934; 1936; 1940","N Atlantic","NE Atlantic","Golfe de Gascogne",48,-11.680527,"Jul–Oct",1931,"35","juvenile, adult","temperate","mixed","Bouxin&Legendre_14","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","A",38,-124,"Jul–Sep",1961,"none reported","juvenile","temperate","juvenile","Clemens&Iselin1963_15","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","A-B",36.046601,-123.6211254,"Jul–Sep",1961,"none reported","juvenile","temperate","juvenile","Clemens&Iselin1963_16","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","A-B-C",32.5,-121.835632,"Jul–Sep",1961,"none reported","juvenile","temperate","juvenile","Clemens&Iselin1963_17","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","B",33.5,-121.835632,"Jul–Sep",1961,"none reported","juvenile","temperate","juvenile","Clemens&Iselin1963_18","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","B-C",31.5,-119.5,"Jul–Sep",1961,"none reported","juvenile","temperate","juvenile","Clemens&Iselin1963_19","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","C",30,-120,"Jul–Sep",1961,"none reported","juvenile","temperate","juvenile","Clemens&Iselin1963_20","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Clemens&Iselin1963","1963.0","N Pacific","NE Pacific","D",26,-115,"Jul–Sep",1961,"none reported","juvenile","temperate","juvenile","Clemens&Iselin1963_21","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Consoli2008","2008.0","Mediterranean","Mediterranean","Central Mediterranean Sea",38.744181,15.059509,"Year-round",2006,"116","juvenile, adult","temperate","mixed","Consoli2008_22","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"DosSantos&Haimovici2002","2002.0","S Atlantic","SW Atlantic","Southern Brazil",-30,-47.035828,"Multi-month",1998,"none reported","adult","temperate","adult","DosSantos&Haimovici2002_23","Trades - South Atlantic Gyral Province (SATG)","SATL",TRUE
"Glaser2015","2015.0","N Pacific","NE Pacific","Mexico to Canada, northern Baja California to Vancouver Island",42,-128.992307,"Jun–Sep",2006,"371","juvenile","temperate","juvenile","Glaser2015_24","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Goni2011","2011.0","Mediterranean","Mediterranean","Balearic",40.158082,5,"Oct",2005,"24","juvenile","temperate","juvenile","Goni2011_25","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"Goni2011","2011.0","Mediterranean","Mediterranean","S Adriatic",41.824403,16.766758,"Nov",2006,"24","juvenile","temperate","juvenile","Goni2011_26","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"Goni2011","2011.0","Mediterranean","Mediterranean","Tyrrhenian",40.658373,11.445351,"Jan",2008,"29","juvenile","temperate","juvenile","Goni2011_27","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 5)",44,-2.7,"Jun–Oct",2005,"186","juvenile, adult","temperate","mixed","Goni2011_28","Coastal - Canary Coastal Province (EACB)","CNRY",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 5)",44,-2.7,"Jun–Oct",2006,"58","juvenile, adult","temperate","mixed","Goni2011_29","Coastal - Canary Coastal Province (EACB)","CNRY",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 5)",44,-2.7,"Aug–Oct",2007,"31","juvenile, adult","temperate","mixed","Goni2011_30","Coastal - Canary Coastal Province (EACB)","CNRY",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 1)",48,-13,"Jul–Aug",2005,"46","juvenile, adult","temperate","mixed","Goni2011_31","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 2)",47.8,-10,"Aug–Oct",2004,"19","juvenile, adult","temperate","mixed","Goni2011_32","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 2)",47.8,-10,"Jul",2005,"14","juvenile, adult","temperate","mixed","Goni2011_33","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 2)",47.8,-10,"Jul",2006,"39","juvenile, adult","temperate","mixed","Goni2011_34","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 3)",46.7,-5.6,"Aug",2005,"29","juvenile, adult","temperate","mixed","Goni2011_35","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 3)",46.7,-5.6,"Sep–Oct",2006,"32","juvenile, adult","temperate","mixed","Goni2011_36","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Goni2011","2011.0","N Atlantic","NE Atlantic","Bay of Biscay (Zone 4)",45.4,-3.5,"Jul–Sep",2006,"22","juvenile, adult","temperate","mixed","Goni2011_37","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Deck Collection Washington Coast",47.046499,-124.79124,NA,1947,"4","juvenile","temperate","juvenile","Hart1948_38","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Vancouver Island",49.117928,-127.546089,NA,1941,"214","juvenile","temperate","juvenile","Hart1948_39","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Vancouver Island",49.117928,-127.546089,NA,1946,"3","juvenile","temperate","juvenile","Hart1948_40","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,NA,1941,"196","juvenile","temperate","juvenile","Hart1948_41","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,NA,1945,"45","juvenile","temperate","juvenile","Hart1948_42","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,NA,1946,"222","juvenile","temperate","juvenile","Hart1948_43","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Hart1948","1948.0","N Pacific","NE Pacific","Washington Coast",47.046499,-124.79124,NA,1947,"84","juvenile","temperate","juvenile","Hart1948_44","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Iversen1962","1962.0","N Pacific","NE Pacific","Central NE Pacific",15,-150,"Year-round",1957,"348","juvenile","tropical","juvenile","Iversen1962_45","Trades - N. Pacific Tropical Gyre Province","NPTG",TRUE
"Jordan1880","1880.0","N Pacific","NE Pacific","Central CA, Santa Barbara Channel",34.345859,-119.723274,NA,1880,"1","juvenile","temperate","juvenile","Jordan1880_46","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Joubin1918","1918.0","N Atlantic","NE Atlantic","Golfe de Gascogne",46.307336,-12.25,NA,1918,"none reported","juvenile, adult","temperate","mixed","Joubin1918_47","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Madigan2015","2015.0","N Pacific","NE Pacific","Mexico to California",34.633208,-124.292542,"Jul–Oct",2010,"86","juvenile","temperate","juvenile","Madigan2015_48","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Matthews1977","1977.0","N Atlantic","NW Atlantic","NW Atlantic",38,-56,NA,1964,"38","adult","temperate","adult","Matthews1977_49","Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)","NASW",TRUE
"McHugh1952","1952.0","N Pacific","NE Pacific","Baja to northern CA",32.5,-121,"Jun & Oct",1949,"301","juvenile","temperate","juvenile","McHugh1952_50","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Monaco1888","1888.0","Mediterranean","Mediterranean","Mediterranean",34.061761,19.209595,"Sep",1888,"none reported","adult","temperate","adult","Monaco1888_51","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"OrtizZarate1987","1987.0","N Atlantic","NE Atlantic","Bay of Biscay",46.986108,-5.407589,NA,1968,"97","juvenile","temperate","juvenile","OrtizZarate1987_52","Coastal - NE Atlantic Shelves Province","NECS",TRUE
"Pinkas1971","1971.0","N Pacific","NE Pacific","Central California (Region 2)",35.283333333,-122,"Jul–Nov",1968,"286","juvenile","temperate","juvenile","Pinkas1971_53","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Pinkas1971","1971.0","N Pacific","NE Pacific","Oregon-Washington (Region 3)",45,-126,"Jul–Nov",1968,"177","juvenile","temperate","juvenile","Pinkas1971_54","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Pinkas1971","1971.0","N Pacific","NE Pacific","Southern California (Region 1)",32,-119.5,"Jul–Sep",1969,"200","juvenile","temperate","juvenile","Pinkas1971_55","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Pinkas1971","1971.0","N Pacific","NE Pacific","Oregon-Washington (Region 3)",45,-126,"Jul–Sep",1969,"20","juvenile","temperate","juvenile","Pinkas1971_56","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Pinkas1971","1971.0","N Pacific","NE Pacific","Southern California (Region 1)",32,-119.5,"Jul–Nov",1968,"222","juvenile","temperate","juvenile","Pinkas1971_57","Coastal - California Upwelling Coastal Province","CCAL",TRUE
"Pusineri2005","2005.0","N Atlantic","NE Atlantic","Bay of Biscay",45,-17.5,"Jun–Sep",1993,"27","juvenile","temperate","juvenile","Pusineri2005_58","Westerlies - N. Atlantic Drift Province (WWDR)","NADR",TRUE
"Romanov2020","2020.0","Indian","NW Indian","Indian Monsoon Gyre Province",-8,57,"Multi-month",2015,"150","adult","tropical","adult","Romanov2020_59","Trades - Indian Monsoon Gyres Province","MONS",TRUE
"Romanov2020","2020.0","Indian","SW Indian","Indian South Subtropical Gyre Province, Reunion Island",-19,53,"Multi-month",2014,"184","adult","tropical","adult","Romanov2020_60","Trades - Indian S. Subtropical Gyre Province","ISSG",TRUE
"Romanov2020","2020.0","Indian","SW Indian","Mozambique Channel, Madagascar",-15.5,42.76,"Multi-month",2014,"63","adult","tropical","adult","Romanov2020_61","Coastal - E. Africa Coastal Province","EAFR",TRUE
"Romanov2020","2020.0","S Atlantic","SE Atlantic","Atlantic Ocean off Cape Town, South Africa",-35,18,"Multi-month",2014,"290","adult","temperate","adult","Romanov2020_62","Coastal - E. Africa Coastal Province","EAFR",TRUE
"Romeo2012","2012.0","Mediterranean","Mediterranean","S. Tyrrhenian sea and Strait of Messina",38.6,15,NA,2008,"none reported","juvenile","temperate","juvenile","Romeo2012_63","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"Salman&Karakulak2009","2009.0","Mediterranean","Mediterranean","Antalya Bay (Levantine Sea)",36.5,31.5,"May-July",2007,"61","juvenile","temperate","juvenile","Salman&Karakulak2009_64","Westerlies - Mediterranean Sea, Black Sea Province","MEDI",TRUE
"Watanabe2004","2004.0","N Pacific","NW Pacific","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",40,163,"September",2001,"14","juvenile","temperate","juvenile","Watanabe2004_65","Westerlies - N. Pacific Polar Front Province","NPPF",TRUE
"Watanabe2004","2004.0","N Pacific","NW Pacific","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",36,160,"July",2002,"46","juvenile","temperate","juvenile","Watanabe2004_66","Westerlies - N. Pacific Polar Front Province","NPPF",TRUE
"Watanabe2004","2004.0","N Pacific","NW Pacific","central North Pacifc between 34°N and 45°N, and 151°E and 175°E",36,160,"May-June",2002,"64","juvenile","temperate","juvenile","Watanabe2004_67","Westerlies - N. Pacific Polar Front Province","NPPF",TRUE
"Williams2015","2015.0","S Pacific","SW Pacific","New Caledonia",-19,168,"Feb–Oct",2010,"340","adult","tropical","adult","Williams2015_68","Trades - Archipelagic Deep Basins Province","ARCH",TRUE
"Williams2015","2015.0","S Pacific","SW Pacific","Tonga",-20,-175.093115,"Jun–Jul",2010,"42","adult","tropical","adult","Williams2015_69","Westerlies - S. Pacific Subtropical Gyre Province","SPSG",TRUE
"Williams2015","2015.0","S Pacific","SW Pacific","New Zealand",-42.5,170,"Jan–Apr",2008,"144","juvenile","temperate","juvenile","Williams2015_70","Westerlies - Subantarctic Province","SANT",TRUE
"Williams2015","2015.0","S Pacific","SW Pacific","New Zealand",-42.5,170,"Jan–Mar",2009,"50","juvenile","temperate","juvenile","Williams2015_71","Westerlies - Subantarctic Province","SANT",TRUE
"Williams2015","2015.0","S Pacific","SW Pacific","New Zealand",-40,178,"Apr–May",2010,"27","juvenile, adult","temperate","mixed","Williams2015_72","Coastal - New Zealand Coastal Province","NEWZ",TRUE
"Williams2015","2015.0","S Pacific","SW Pacific","New Zealand",-40,178,"Apr–May",2010,"11","juvenile, adult","temperate","mixed","Williams2015_73","Coastal - New Zealand Coastal Province","NEWZ",TRUE
"Young2010","2010.0","S Pacific","SW Pacific","Eastern Australia, offshore, Eastern Tuna and Billfish fishery",-31,160,"Year-round",2006,"10","adult","temperate","adult","Young2010_74","Trades - Archipelagic Deep Basins Province","ARCH",TRUE
"Young2010","2010.0","S Pacific","SW Pacific","Eastern Australia, offshore, Eastern Tuna and Billfish fishery",-30,160,"Year-round",2006,"36","adult","temperate","adult","Young2010_75","Trades - Archipelagic Deep Basins Province","ARCH",TRUE
