"StudyID","rep_ID","YearEnd","OceanBasin","OceanBasinQ","province","code","lat_cat","pred_life_adjust"
"Aloncle1973","Aloncle1973_1","1971","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","juvenile"
"Bello1999","Bello1999_2","1992","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"Bello1999","Bello1999_3","1994","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"Bernard1985","Bernard1985_4","1983","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"Bouxin&Legendre","Bouxin&Legendre_5","1928","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"Bouxin&Legendre","Bouxin&Legendre_6","1929","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"Bouxin&Legendre","Bouxin&Legendre_7","1930","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"Bouxin&Legendre","Bouxin&Legendre_8","1931","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"Bouxin&Legendre","Bouxin&Legendre_9","1932","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"Bouxin&Legendre","Bouxin&Legendre_10","1933","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"Glaser2015","Glaser2015_20","2006","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"Goni2011","Goni2011_21","2005","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"Goni2011","Goni2011_22","2006","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"Goni2011","Goni2011_23","2008","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"Goni2011","Goni2011_24","2005","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"Goni2011","Goni2011_25","2004","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"Goni2011","Goni2011_26","2005","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"Goni2011","Goni2011_27","2006","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"Goni2011","Goni2011_28","2005","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"Goni2011","Goni2011_29","2006","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"Goni2011","Goni2011_30","2006","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","mixed"
"Goni2011","Goni2011_31","2005","N Atlantic","NE Atlantic","Coastal - Canary Coastal Province (EACB)","CNRY","temperate","mixed"
"Goni2011","Goni2011_32","2006","N Atlantic","NE Atlantic","Coastal - Canary Coastal Province (EACB)","CNRY","temperate","mixed"
"Goni2011","Goni2011_33","2007","N Atlantic","NE Atlantic","Coastal - Canary Coastal Province (EACB)","CNRY","temperate","mixed"
"Hart1948","Hart1948_36","1945","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"Hart1948","Hart1948_37","1946","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"Hart1948","Hart1948_39","1947","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"Hart1948","Hart1948_40","1947","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"Iversen1962","Iversen1962_41","1957","N Pacific","NE Pacific","Trades - N. Pacific Tropical Gyre Province","NPTG","tropical","juvenile"
"Jordan1880","Jordan1880_42","1880","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"Madigan2015","Madigan2015_44","2010","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"Matthews1977","Matthews1977_45","1964","N Atlantic","NW Atlantic","Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)","NASW","temperate","adult"
"McHugh1952","McHugh1952_46","1949","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"OrtizZarate1987","OrtizZarate1987_48","1968","N Atlantic","NE Atlantic","Coastal - NE Atlantic Shelves Province","NECS","temperate","juvenile"
"Pinkas1971","Pinkas1971_49","1968","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"Pinkas1971","Pinkas1971_50","1968","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"Pinkas1971","Pinkas1971_51","1968","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"Pinkas1971","Pinkas1971_52","1969","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"Pinkas1971","Pinkas1971_53","1969","N Pacific","NE Pacific","Coastal - California Upwelling Coastal Province","CCAL","temperate","juvenile"
"Pusineri2005","Pusineri2005_54","1993","N Atlantic","NE Atlantic","Westerlies - N. Atlantic Drift Province (WWDR)","NADR","temperate","juvenile"
"Romeo2012","Romeo2012_59","2008","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"Salman&Karakulak2009","Salman&Karakulak2009_60","2007","Mediterranean","Mediterranean","Westerlies - Mediterranean Sea, Black Sea Province","MEDI","temperate","juvenile"
"Watanabe2004","Watanabe2004_61","2001","N Pacific","NW Pacific","Westerlies - N. Pacific Polar Front Province","NPPF","temperate","juvenile"
"Watanabe2004","Watanabe2004_62","2002","N Pacific","NW Pacific","Westerlies - N. Pacific Polar Front Province","NPPF","temperate","juvenile"
"Watanabe2004","Watanabe2004_63","2002","N Pacific","NW Pacific","Westerlies - N. Pacific Polar Front Province","NPPF","temperate","juvenile"
