"prey_class","prey_order","prey_family","prey_sp","life_stage","diet_likely","life_note","vert_habitat","horz_habitat","diel_migrant","diel_migrant_cat","refuge_cat","season_migrant","season_cat","gregarious_primary","maxFO","maxN","maxM"
"Actinopterygii","Argentiniformes","Bathylagidae","Bathylagoides wesethi","juvenile","juvenile",NA,"mesopelagic","oceanic","0.0","diel_no","refuge_no","1.0","season_yes","schooling",0,0,0
"Actinopterygii","Argentiniformes","Bathylagidae","Leuroglossus stilbius","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",0.4,0.1,0
"Actinopterygii","Ateleopodiformes","Ateleopodidae","Ateleopus natalensis","juvenile","juvenile",NA,"demersal","continental shelf","NA","diel_UN","refuge_NA","NA","season_NA","shoaling",0.5,0.3,0.5
"Actinopterygii","Atheriniformes","Atherinidae","Atherinopsis californiensis","juvenile","juvenile",NA,"epipelagic","coastal","0.0","diel_no","refuge_no","1.0","season_yes","schooling",0,0,0
"Actinopterygii","Aulopiformes","Alepisauridae","Alepisaurus ferox","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","shoaling",2.7,0.3,1
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus nikparini","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",1,0,0
"Actinopterygii","Aulopiformes","Anotopteridae","Anotopterus pharao","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",11.1111111111111,0,0
"Actinopterygii","Aulopiformes","Chlorothalmidae","Chlorophthalmus agassizi","juvenile","juvenile",NA,"demersal","continental shelf","0.0","diel_no","refuge_no","1.0","season_yes","schooling",2.85714285714286,0,0
"Actinopterygii","Aulopiformes","Notosudidae","Scopelosaurus hoedti","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","NA","season_NA","NA",0.5,0,0.2
"Actinopterygii","Aulopiformes","Omosudidae","Omosudis lowii","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","NA","season_NA","solitary",16.7,0.7,1.2
"Actinopterygii","Aulopiformes","Paralepididae","Arctozenus risso","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","solitary",52,4,0.5
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops ringens","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",4,0,0
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops similis","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",1.6,0.2,0.1
"Actinopterygii","Aulopiformes","Paralepididae","Lestidiops sphyrenoides","juvenile","juvenile",NA,"epipelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",31.4814814814815,0,0
"Actinopterygii","Aulopiformes","Paralepididae","Lestrolepis intermedia","juvenile","juvenile",NA,"mesopelagic","oceanic","0.0","diel_no","refuge_no","1.0","season_yes","schooling",16.3,4.4,4.9
"Actinopterygii","Aulopiformes","Paralepididae","Macroparalepis affinis","juvenile","juvenile",NA,"epipelagic","oceanic","0.0","diel_no","refuge_no","1.0","season_yes","schooling",4,0,0
"Actinopterygii","Aulopiformes","Paralepididae","Magnisudis atlantica","juvenile","juvenile",NA,"mesopelagic","oceanic","0.0","diel_no","refuge_no","1.0","season_yes","schooling",8.2,2,2.4
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis coregonoides","juvenile","juvenile","Consoli et al. (2008) reported","mesopelagic","oceanic","0.0","diel_no","refuge_no","1.0","season_yes","schooling",81.4814814814815,20.38,26.89
"Actinopterygii","Aulopiformes","Paralepididae","Paralepis speciosa","juvenile","juvenile","Consoli et al. (2008) reported","mesopelagic","oceanic","0.0","diel_no","refuge_no","1.0","season_yes","schooling",0.8620689655,17.1,23.04
"Actinopterygii","Aulopiformes","Paralepididae","Sudis hyalina","juvenile","juvenile","Consoli et al. (2008) reported","mesopelagic","oceanic","0.0","diel_no","refuge_no","1.0","season_yes","schooling",0.8620689655,0.43,0.82
"Actinopterygii","Aulopiformes","Scopelarchidae","Scopelarchus analis","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","0.0","season_no","shoaling",6,1,0.9
"Actinopterygii","Beloniformes","Belonidae","Belone belone","juvenile","juvenile","Can eat larvae based on size","epipelagic","coastal","0.0","diel_no","refuge_no","1.0","season_yes","schooling",8.7,0,7.1
"Actinopterygii","Beloniformes","Belonidae","Strongylura exilis","juvenile","juvenile","Can eat larvae based on size","epipelagic","coastal","0.0","diel_no","refuge_no","1.0","season_yes","schooling",0.996677740863787,0,0
"Actinopterygii","Beloniformes","Scomberesocidae","Cololabis saira","juvenile","juvenile","Can eat larvae based on size","epipelagic","oceanic","0.0","diel_no","refuge_yes","1.0","season_yes","schooling",54.35,11.1,23.3
"Actinopterygii","Beloniformes","Scomberesocidae","Scomberesox saurus","juvenile","juvenile","Can be adult or juvenile life stage based on reported length","epipelagic","oceanic","0.0","diel_no","refuge_no","1.0","season_yes","schooling",64.8148148148148,2.1,26.3
"Actinopterygii","Beryciformes","Berycidae","Beryx splendens","juvenile","juvenile",NA,"epipelagic","continental slope","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",1.6,0.2,0.4
"Actinopterygii","Beryciformes","Diretmidae","Diretmus argenteus","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","NA","season_NA","NA",11.4,2.6,4.6
"Actinopterygii","Clupeiformes","Clupeidae","Clupea pallasii","juvenile","juvenile",NA,"epipelagic","coastal","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",0,0,0
"Actinopterygii","Clupeiformes","Clupeidae","Sardina pilchardus","juvenile","juvenile",NA,"epipelagic","coastal","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",3.4,5.8,7.68
"Actinopterygii","Clupeiformes","Clupeidae","Sardinella aurita","juvenile","juvenile","Reported multiple life stages","epipelagic","coastal","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",0.8620689655,0.86,0.86
"Actinopterygii","Clupeiformes","Clupeidae","Sardinops sagax","juvenile","juvenile","Glaser (2010), Madigan et al. (2015) reported juvenile and y-o-y life stages consumed","epipelagic","coastal","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",29.0697674418605,3.90206579954093,7.4327699862311
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis capensis","juvenile","juvenile",NA,"epipelagic","coastal","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",10,3.8,4.4
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis encrasicolus","juvenile","juvenile","Goni et al. (2011) reported juvenile life stage","epipelagic","coastal","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",29.2,1.5,20
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis japonicus","juvenile","juvenile","Watanabe et al. (2004) repoted juvenile primarily consumed, secondary was the adult life stage.","epipelagic","continental shelf","0.0","diel_no","refuge_no","1.0","season_yes","schooling",85.4,52.8,95.2
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis mordax","juvenile","juvenile","McHugh (1952), Pinkas et al. (1971), Glaser (2010) and Bernard et al. (1985) all reported juvenile life stage consumed","epipelagic","coastal","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",69.7,40.4,23
"Actinopterygii","Gadiformes","Bregmacerotidae","Bregmaceros mcclellandi","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","shoaling",2.1,0.3,0.2
"Actinopterygii","Gadiformes","Gadidae","Microgadus proximus","juvenile","juvenile",NA,"demersal","continental shelf","1.0","diel_yes","refuge_yes","1.0","season_yes","schooling",33.33333333,0.5,0
"Actinopterygii","Gadiformes","Gadidae","Micromesistius poutassou","juvenile","juvenile",NA,"epipelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",72.4,4.5,68.5
"Actinopterygii","Gadiformes","Lotidae","Gaidropsarus vulgaris","juvenile","juvenile","Could be larva based on trait information","demersal","continental shelf","0.0","diel_no","refuge_yes","0.0","season_no","solitary",8,0,0
"Actinopterygii","Gadiformes","Merlucciidae","Merluccius productus","juvenile","juvenile","Glaser (2010) reported juvenile life stage, McHugh (1952) reported larvae / postlarvae","demersal","continental shelf","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",100,19,30
"Actinopterygii","Gadiformes","Moridae","Antimora rostrata","juvenile","juvenile","More likely y-o-y based on size and trait information","bathypelagic","continental slope","0.0","diel_no","refuge_no","1.0","season_yes","shoaling",0.7,0,0.5
"Actinopterygii","Lampriformes","Trachipteridae","Desmodema polystictum","juvenile","juvenile",NA,"mesopelagic","oceanic","NA","diel_UN","refuge_no","NA","season_NA","shoaling",0,0,0
"Actinopterygii","Lampriformes","Trachipteridae","Trachipterus trachypterus","juvenile","juvenile",NA,"mesopelagic","oceanic","NA","diel_UN","refuge_no","1.0","season_yes","shoaling",0,0,0
"Actinopterygii","Lophiiformes","Ceratiidae","Ceratias tentaculatus","juvenile","juvenile","A weird species, 'free-living' at juvenile life stage and we know almost nothing of the larval stage","demersal","continental shelf","0.0","diel_no","refuge_no","NA","season_NA","NA",0.5,0.1,0.3
"Actinopterygii","Myctophiformes","Myctophidae","Benthosema glaciale","juvenile","juvenile","Reported by Pusineri at 3.5 cm TL. Both adult & juvenile life stage possible based on Lmax","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",10.3,0.1,0.7
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus maderensis","adult","adult","Bouxin & Legendre reported age","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",29.6296296296296,0,0
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus townsendi","juvenile","juvenile","McHugh (1952) reported ""larvae & young"", most likely were post-larvae -- juvenile / young-of-year","mesopelagic","oceanic","1.0","diel_yes","refuge_no","0.0","season_no","schooling",7.7,0.6,0
"Actinopterygii","Myctophiformes","Myctophidae","Ceratoscopelus warmingii","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",5.6,0.8,0.2
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus effulgens","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","0.0","season_no","schooling",2.1,0.2,0.2
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus lucidus","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",7.9,5.8,4.4
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus luetkeni","adult","adult","Bouxin & Legendre reported age","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",2.85714285714286,0,0
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus ostenfeldi","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",0.7,0,0
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus perspicillatus","adult","adult","Based on diel migration, could be juvenile.","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",7.9,5.8,5
"Actinopterygii","Myctophiformes","Myctophidae","Diaphus theta","adult","adult","Glaser (2010) reported, Based on diel migration, could be juvenile.","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",5.6,9.8,0.2
"Actinopterygii","Myctophiformes","Myctophidae","Electrona risso","adult","adult","Bouxin & Legendre reported age","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",5.71428571428571,0.1,0.1
"Actinopterygii","Myctophiformes","Myctophidae","Hygophum hygomii","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",0.7,0,0
"Actinopterygii","Myctophiformes","Myctophidae","Lampadena luminosa","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","0.0","season_no","shoaling",0.5,0.3,0.5
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctodes hectoris","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","shoaling",23.4,11.7,10.8
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus alatus","adult","adult","Bouxin & Legendre reported age","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",5.55555555555556,0,0
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus crocodilus","juvenile","juvenile","Bouxin & Legendre reported age","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",48.5714285714286,0,0
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus intricarius","juvenile","juvenile","Bouxin & Legendre reported age","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",37.037037037037,0,0
"Actinopterygii","Myctophiformes","Myctophidae","Lampanyctus mexicanus","juvenile","juvenile","McHugh (1952) reported ""larvae & young"", most likely were post-larvae -- juvenile / young-of-year","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",0.996677740863787,0,0
"Actinopterygii","Myctophiformes","Myctophidae","Lobianchia gemellarii","adult","adult","Bouxin & Legendre reported age","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",4,0.1,0
"Actinopterygii","Myctophiformes","Myctophidae","Myctophum asperum","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","shoaling",2.2,0.9,0.6
"Actinopterygii","Myctophiformes","Myctophidae","Myctophum punctatum","adult","adult","Bouxin & Legendre reported age","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",68.5185185185185,0,0
"Actinopterygii","Myctophiformes","Myctophidae","Nannobrachium regale","juvenile","juvenile","McHugh (1952) reported ""larvae & young"", most likely were post-larvae -- juvenile / young-of-year","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",0.996677740863787,0,0
"Actinopterygii","Myctophiformes","Myctophidae","Nannobrachium ritteri","juvenile","juvenile","McHugh (1952) reported ""larvae & young"", most likely were post-larvae -- juvenile / young-of-year","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",1.8,0.1,0
"Actinopterygii","Myctophiformes","Myctophidae","Notoscopelus kroyeri","adult","adult","Bouxin & Legendre reported age, but based on gape length more likely juveniles","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",15.8,0,6.3
"Actinopterygii","Myctophiformes","Myctophidae","Protomyctophum crockeri","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",2.7,0.2,0
"Actinopterygii","Myctophiformes","Myctophidae","Stenobrachius leucopsarus","adult","adult","Glaser (2010) reported age, length info","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",7.6,0.2,0.2
"Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus barnardi","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","shoaling",9,3.7,4.7
"Actinopterygii","Myctophiformes","Myctophidae","Symbolophorus evermanni","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","shoaling",0.3,0,0
"Actinopterygii","Myctophiformes","Myctophidae","Tarletonbeania crenularis","adult","adult","Glaser (2010) reported adults, McHugh (1952) - post-larvae","mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",100,5.4,0
"Actinopterygii","Myctophiformes","Myctophidae","Triphoturus mexicanus","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",6.97674418604651,0.459066564651875,0.000609243441494352
"Actinopterygii","Ophidiiformes","Aphyonidae","Barathronus parfaiti","adult","adult",NA,"bathypelagic","oceanic","1.0","diel_yes","refuge_no","0.0","season_no","solitary",1.85185185185185,0,0
"Actinopterygii","Ophidiiformes","Ophdiidae","Chilara taylori","juvenile","juvenile",NA,"epipelagic","continental shelf","1.0","diel_yes","refuge_no","0.0","season_no","shoaling",0,0,0
"Actinopterygii","Osmeriformes","Microstomatidae","Nansenia macrolepis","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","0.0","season_no","shoaling",13.6,5,4.2
"Actinopterygii","Osmeriformes","Opisthoproctidae","Monacoa grimaldii","adult","adult",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","0.0","season_no","solitary",0.5,0,0
"Actinopterygii","Osmeriformes","Osmeridae","Thaleichthys pacificus","juvenile","juvenile",NA,"epipelagic","coastal","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",33.33333333,0,0
"Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys ocellatus","juvenile","juvenile",NA,"epipelagic","continental shelf","0.0","diel_no","refuge_yes","0.0","season_no","shoaling",33.33333333,0,0
"Actinopterygii","Perciformes","Blenniidae","Blennius ocellaris","juvenile","juvenile",NA,"epipelagic","continental shelf","0.0","diel_no","refuge_yes","1.0","season_yes","solitary",5.55555555555556,0,0
"Actinopterygii","Perciformes","Bramidae","Brama brama","juvenile","juvenile",NA,"epipelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",0,0,0
"Actinopterygii","Perciformes","Bramidae","Brama orcini","juvenile","juvenile",NA,"epipelagic","continental shelf","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",3,0.1593117731,0
"Actinopterygii","Perciformes","Bramidae","Pterycombus petersii","juvenile","juvenile",NA,"epipelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",4.7,0.1,2.2
"Actinopterygii","Perciformes","Bramidae","Taractes asper","juvenile","juvenile",NA,"epipelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","shoaling",0,0,0
"Actinopterygii","Perciformes","Caproidae","Antigonia capros","juvenile","juvenile",NA,"epipelagic","continental shelf","1.0","diel_yes","refuge_no","0.0","season_no","shoaling",3,0,0
"Actinopterygii","Perciformes","Caproidae","Capros aper","juvenile","juvenile",NA,"epipelagic","continental shelf","1.0","diel_yes","refuge_no","0.0","season_no","schooling",14.2857142857143,0.22,0.06
"Actinopterygii","Perciformes","Carangidae","Decapterus macarellus","juvenile","juvenile",NA,"epipelagic","continental shelf","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",0.5,0.1,0
"Actinopterygii","Perciformes","Carangidae","Decapterus macrosoma","juvenile","juvenile",NA,"epipelagic","continental shelf","1.0","diel_yes","refuge_no","1.0","season_yes","schooling",0.5,0,0.1
"Actinopterygii","Perciformes","Carangidae","Selene setapinnis","juvenile","juvenile",NA,"demersal","coastal","0.0","diel_no","refuge_no","0.0","season_no","schooling",3,0,0
"Actinopterygii","Perciformes","Carangidae","Trachinotus ovatus","juvenile","juvenile",NA,"epipelagic","coastal","0.0","diel_no","refuge_no","1.0","season_yes","schooling",1.85185185185185,0,0
"Actinopterygii","Perciformes","Carangidae","Trachurus japonicus","juvenile","juvenile",NA,"epipelagic","coastal","1.0","diel_yes","refuge_yes","1.0","season_yes","schooling",5.6,0.8,13.9
"Actinopterygii","Perciformes","Carangidae","Trachurus symmetricus","juvenile","juvenile",NA,"epipelagic","oceanic","1.0","diel_yes","refuge_yes","1.0","season_yes","schooling",40.6976744186046,13.6954858454476,27.5378035555447
"Actinopterygii","Perciformes","Carangidae","Trachurus trachurus","juvenile","juvenile",NA,"epipelagic","coastal","1.0","diel_yes","refuge_yes","1.0","season_yes","schooling",43,28.1,42.4
"Actinopterygii","Perciformes","Centrolophidae","Centrolophus niger","juvenile","juvenile",NA,"epipelagic","oceanic","1.0","diel_yes","refuge_yes","1.0","season_yes","schooling",1.85185185185185,0,0
"Actinopterygii","Perciformes","Centrolophidae","Icichthys lockingtoni","juvenile","juvenile",NA,"epipelagic","coastal","1.0","diel_yes","refuge_no","1.0","season_yes","shoaling",1,0,0
"Actinopterygii","Perciformes","Chiasmodontidae","Chiasmodon niger","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","0.0","season_no","solitary",9.5,1.7,1.6
"Actinopterygii","Perciformes","Coryphaenidae","Coryphaena hippurus","juvenile","juvenile",NA,"epipelagic","oceanic","0.0","diel_no","refuge_no","1.0","season_yes","schooling",0.3,0.01593117731,0
"Actinopterygii","Perciformes","Embiotocidae","Cymatogaster aggregata","adult","adult",NA,"demersal","coastal","0.0","diel_no","refuge_yes","1.0","season_yes","shoaling",0.5,0.1,0
"Actinopterygii","Perciformes","Gempylidae","Diplospinus multistriatus","juvenile","juvenile","We've noted that there are pelagic eggs and larvae","mesopelagic","continental shelf","1.0","diel_yes","refuge_no","0.0","season_no","solitary",8,0,0
"Actinopterygii","Perciformes","Gempylidae","Gempylus serpens","juvenile","juvenile",NA,"mesopelagic","oceanic","1.0","diel_yes","refuge_no","1.0","season_yes","shoaling",5.2,0.7487653338,0.5
