"prey_sp","maxFO","maxN","maxM","maxTL"
"Abralia redfieldi",5,"0.0",0,0
"Abraliopsis affinis",1.16279069767442,"0.07651109410864575",0.00609243441494352,0
"Abraliopsis felis",36.4,"11.3",2.13235204523023,0
"Abraliopsis gilchristi",0.7,"0.2",0.1,0
"Abraliopsis morisii",4.9,"3.4",3.4,0
"Acanthephyra pelagica",38.8888888888889,"0.0",0,0
"Alepisaurus ferox",2.7,"0.3",1,0
"Alloteuthis subulata",1,"0.43",0.08,0
"Alpheus glaber",11.1111111111111,"0.0",0,0
"Anarrhichthys ocellatus",33.33333333,"0.0",0,0
"Anchylomera blossevillei",4.2,"1.65",3.3,0
"Ancistrocheirus lesueurii",7,"0.4",0.5,0
"Ancistroteuthis lichtensteinii",33,"4.9",0.71,228.552801943751
"Anoplopoma fimbria",33.33333333,"0.0",0,0
"Anotopterus nikparini",1,"0.0",0,0
"Anotopterus pharao",11.1111111111111,"0.0",0,0
"Antigonia capros",3,"0.0",0,0
"Antimora rostrata",0.7,"0.0",0.5,0
"Arctozenus risso",52,"4.0",0.5,222.684511811771
"Argonauta argo",13.11,"2.37",1.6,0
"Argonauta nodosus",5,"0.0",0.1,0
"Argonauta nouryi",0.5,"0.1",0,0
"Argyropelecus aculeatus",0.5,"0.0",0,0
"Argyropelecus olfersii",100,"0.0",0,89.5052974699482
"Arnoglossus imperialis",24.0740740740741,"0.0",0,0
"Ateleopus natalensis",0.5,"0.3",0.5,0
"Atherinopsis californiensis",0,"0.0",0,94.6
"Atlanta peronii",1.85185185185185,"0.0",0,0
"Axius stirhynchus",4,"0.0",0,0
"Balistes punctatus",1.1,"0.2",0.2,0
"Barathronus parfaiti",1.85185185185185,"0.0",0,0
"Bathophilus flemingi",0.5,"0.1",0,0
"Bathyagonus pentacanthus",0,"0.0",0,0
"Bathylagoides wesethi",0,"0.0",0,0
"Belone belone",8.7,"0.0",7.1,0
"Benthosema glaciale",10.3,"0.1",0.7,32.5068639321285
"Berryteuthis anonychus",38.5,"9.0",0,0
"Beryx splendens",1.6,"0.2",0.4,0
"Blennius ocellaris",5.55555555555556,"0.0",0,0
"Boops boops",11.1111111111111,"0.0",0,0
"Brachioteuthis riisei",29.6296296296296,"0.0",0,0
"Brachyscelus crusculum",92.5925925925926,"6.2",2.2,0
"Brachyscelus macrocephalus",0,"0.0",0,0
"Brama brama",0,"0.0",0,0
"Brama orcini",3,"0.0",0,0
"Bregmaceros mcclellandi",2.1,"0.3",0.2,0
"Calanus finmarchicus",3.7037037037037,"0.0",0,0
"Canthidermis maculata",1.6,"0.1",0,0
"Capros aper",14.2857142857143,"0.22",0.06,0
"Carinaria lamarckii",34.2857142857143,"0.0",0,0
"Cavolinia tridentata",10,"0.0",0.1,0
"Centrolophus niger",1.85185185185185,"0.0",0,0
"Ceratias tentaculatus",0.5,"0.1",0.3,0
"Ceratoscopelus maderensis",29.6296296296296,"0.0",0,0
"Ceratoscopelus townsendi",7.7,"0.6",0,0
"Ceratoscopelus warmingii",5.6,"0.8",0.2,0
"Chelophyes appendiculata",16,"0.0",0,0
"Chiasmodon niger",9.5,"1.7",1.6,0
"Chilara taylori",0,"0.0",0,0
"Chiroteuthis veranii",36.06,"8.69",0,0
"Chlorophthalmus agassizi",2.85714285714286,"0.0",0,0
"Chromis punctipinnis",0,"0.0",0,0
"Chtenopteryx sicula",33.3333333333333,"0.0",0,0
"Citharichthys sordidus",0,"0.0",0,0
"Clio pyramidata",11.1111111111111,"0.0",0,0
"Clupea pallasii",0,"0.0",0,0
"Cololabis saira",54.35,"9.2",23.3,119.1
"Cookeolus japonicus",0.5,"0.2",0,0
"Coryphaena hippurus",0.3,"#DIV/0!",0,0
"Cranchia scabra",1.1,"0.1",0,0
"Cubiceps capensis",0.7,"0.1",0.5,0
"Cubiceps gracilis",10,"0.0",0,120
"Cubiceps pauciradiatus",70.7,"69.4",69.4,0
"Cymatogaster aggregata",0.5,"0.1",0,0
"Cyphocaris faurei",1.6,"0.1",0,0
"Dactyloptena orientalis",1.1,"0.1",0,0
"Decapterus macarellus",0.5,"0.1",0,0
"Decapterus macrosoma",0.5,"0.0",0.1,0
"Desmodema polystictum",0,"0.0",0,0
"Diacria trispinosa",5.71428571428571,"0.3",0.1,0
"Diaphus effulgens",2.1,"0.2",0.2,0
"Diaphus lucidus",7.9,"5.8",4.4,0
"Diaphus luetkeni",2.85714285714286,"0.0",0,0
"Diaphus ostenfeldi",0.7,"0.0",0,0
"Diaphus perspicillatus",7.9,"5.8",5,0
"Diaphus theta",5.6,"9.8",0.2,66
"Diplodus sargus",2.85714285714286,"0.0",0,0
"Diplospinus multistriatus",8,"0.0",0,164.220276449808
"Diretmus argenteus",11.4,"2.6",4.6,0
"Doryteuthis opalescens",13.4,"6.044376434583015",22.6638560235899,0.6
"Dosidicus gigas",1.16279069767442,"0.1",3.35083892821894,0
"Echinosquilla guerinii",0.6,"#DIV/0!",0,0
"Electrona risso",5.71428571428571,"0.1",0.1,0
"Eledone cirrhosa",8,"0.16",0,0
"Engraulis capensis",10,"3.8",4.4,0
"Engraulis encrasicolus",29.2,"1.5",20,130
"Engraulis japonicus",85.4,"52.8",95.2,0
"Engraulis mordax",69.7,"40.4",23,55.2097178451032
"Entelurus aequoreus",41,"0.0",35,0
"Eucleoteuthis luminosa",4.9,"1.3",1.9,0
"Euphausia pacifica",38.9,"43.1",0,0
"Eusergestes arcticus",52,"0.0",0,0
"Eusergestes similis",45,"76.5",0,36
"Eutrigla gurnardus",4,"0.0",0,0
"Funchalia taaningi",1.6,"0.2",0.3,0
"Funchalia woodwardi",0.7,"0.1",0.1,0
"Gaidropsarus vulgaris",8,"0.0",0,0
"Galiteuthis armata",54.2857142857143,"0.0",0,0
"Galiteuthis phyllura",0,"0.0",0,0
"Gempylus serpens",5.2,"0.3",0.5,0
"Gennadas elegans",4,"0.0",0,0
"Glyptocephalus zachirus",0,"0.0",0,0
"Gonatopsis borealis",28.8,"8.9",10.8,0
"Gonatus berryi",1.5,"0.1",0.1,0
"Gonatus californiensis",0,"0.0",0,1.2
"Gonatus onyx",1,"0.0",0,1.5
"Gonatus pyros",0,"0.0",0.1,0
"Gonatus steenstrupi",23.5,"3.5",0.3,178.801647643322
"Grimalditeuthis bonplandi",0.5,"0.0",0,0
"Halichoeres nicholsi",0,"0.0",0,0
"Haliphron atlanticus",5,"0.0",0,0
"Helicocranchia pfefferi",7.40740740740741,"0.0",0,0
"Helicolenus dactylopterus",16,"0.0",0,0
"Heterocarpus laevigatus",3.2,"0.3",0.1,0
"Heteroteuthis dispar",66,"88.2",3.68,43.4570012163476
"Histioteuthis bonnellii",63.2,"38.4",0,0
"Histioteuthis heteropsis",1.5,"0.1",0,0
"Histioteuthis meleagroteuthis",0.5,"0.0",0,0
"Histioteuthis reversa",28,"2.05",0.86,0
"Hyaloteuthis pelagica",2.9,"0.0",0.5,0
"Hygophum hygomii",0.7,"0.0",0,0
"Hyperia galba",5.71428571428571,"0.0",0,0
"Icichthys lockingtoni",1,"0.0",0,0
"Idotea metallica",3.7037037037037,"0.0",0,0
"Illex argentinus",12,"0.0",0,0
"Illex coindetii",10.3,"2.13",3.3,0
"Janicella spinicauda",2.2,"0.5",0.1,0
"Janthina exigua",5.71428571428571,"0.0",0,0
"Japetella diaphana",4.8,"1.0",2.1,0
"Japetella heathi",7,"0.0",0.6,0
"Katsuwonus pelamis",0.6,"#DIV/0!",0,0
"Lactoria diaphana",0.3,"#DIV/0!",0,0
"Lagocephalus lagocephalus",1.6,"0.0",0,0
"Lampadena luminosa",0.5,"0.3",0.5,0
"Lampanyctodes hectoris",23.4,"11.7",10.8,0
"Lampanyctus alatus",5.55555555555556,"0.0",0,0
"Lampanyctus crocodilus",48.5714285714286,"0.0",0,0
"Lampanyctus intricarius",37.037037037037,"0.0",0,0
"Lampanyctus mexicanus",0.996677740863787,"0.0",0,0
"Lanceola sayana",1.85185185185185,"0.0",0,0
"Lepidocybium flavobrunneum",1.6,"0.0",0,0
"Leptocotis tenuirostris",2.1,"0.1",0.1,0
"Lestidiops ringens",4,"0.0",0,0
"Lestidiops similis",1.6,"0.2",0.1,0
"Lestidiops sphyrenoides",31.4814814814815,"0.0",0,0
"Lestrolepis intermedia",16.3,"4.4",4.9,0
"Leuroglossus stilbius",0.4,"0.1",0,0
"Liocranchia reinhardtii",1.85185185185185,"0.0",0,0
"Lobianchia gemellarii",4,"0.1",0,0
"Lycoteuthis lorigera",32.8,"17.3",25.8,0
"Lysiosquilla tredecimdentata",7.9,"0.9",0.7,0
"Macroparalepis affinis",4,"0.0",0,177.72955391684
"Macroramphosus scolopax",30,"0.0",0.07,0
"Magnisudis atlantica",8.2,"2.0",2.4,0
"Makaira mazara",0.5,"0.5",0.5,0
"Mastigoteuthis dentata",22.5,"1.8",0.2,0
"Masturus lanceolatus",0.5,"0.1",0,0
"Maurolicus imperatorius",4.2,"0.2",0.1,0
"Maurolicus muelleri",85.7142857142857,"78.5",24.6,73.8762624083012
"Medialuna californiensis",1.16279069767442,"0.07651109410864575",0.000609243441494352,0
"Meganyctiphanes norvegica",89.7,"7.3",84.3,40
"Melamphaes lugubris",5.9,"1.1",0,0
"Melanostomias valdiviae",0,"0.0",0,0
"Merluccius productus",100,"19.0",30,60.9
"Microgadus proximus",33.33333333,"0.5",0,0
"Micromesistius poutassou",72.4,"4.5",68.5,160
"Microstomus pacificus",0,"0.0",0,0
"Monacoa grimaldii",0.5,"0.0",0,0
"Mugil cephalus",0,"0.0",0,0
"Mullus barbatus barbatus",1.85185185185185,"0.0",0,0
"Myctophum asperum",2.2,"0.9",0.6,0
"Myctophum punctatum",68.5185185185185,"0.0",0,0
"Nannobrachium regale",0.996677740863787,"0.0",0,0
"Nannobrachium ritteri",1.8,"0.1",0,0
"Nansenia macrolepis",13.6,"5.0",4.2,0
"Natosquilla investigatoris",2,"1.8",1.5,0
"Nealotus tripes",3,"0.0",0.1,0
"Nematoscelis megalops",80,"0.61",4.2,40
"Neoanchisquilla tuberculata",9.5,"1.1",0.4,0
"Neognathophausia gigas",0.7,"0.1",0,0
"Neognathophausia ingens",11.1111111111111,"0.0",0,0
"Nesiarchus nasutus",3,"0.0",0,0
"Notoscopelus kroyeri",15.8,"0.0",6.3,0
"Nyctiphanes australis",27.9,"0.0",20.4,0
"Octopoteuthis nielseni",0.332225913621262,"0.0",0,0
"Octopoteuthis rugosa",1,"0.1",0.2,0
"Octopoteuthis sicula",32.7,"2.37",0.609243441494352,0
"Octopus bimaculatus",15.9,"1.836266258607498",0.182773032448306,0
"Octopus vulgaris",16.6666666666667,"0.0",0,0
"Ocythoe tuberculata",17.2,"0.7",0.6,0
"Odontodactylus hansenii",0.3,"#DIV/0!",0,0
"Odontodactylus scyllarus",27,"5.1",2.4,0
"Ommastrephes bartramii",5,"1.6",6.2,0
"Omosudis lowii",16.7,"0.7",1.2,0
"Onychoteuthis banksii",83.3333333333333,"9.6",5.5,0
"Onychoteuthis borealijaponica",58.5,"7.1",3.3,8
"Onykia loennbergii",0.5,"0.0",0.3,0
"Onykia robusta",6,"0.5",0.3,1
"Opisthoteuthis californiana",0.5,"0.1",0,0
"Oplophorus typus",3.2,"0.5",0.3,0
"Ornithoteuthis antillarum",12,"0.0",0,0
"Ornithoteuthis volatilis",20.7,"3.3",2.8,0
"Ostracion cubicus",1.6,"0.2",0,0
"Palinurus mauritanicus",8,"0.0",0,0
"Paralepis coregonoides",81.4814814814815,"20.38",26.89,0
"Paralepis speciosa",0.8620689655,"17.1",23.04,0
"Parapasiphae sulcatifrons",4,"0.0",0,0
"Parapronoe crustulum",1.5,"0.2",0.1,0
"Parribacus antarcticus",0.5,"0.1",0,0
"Peprilus simillimus",0.5,"0.1",0,0
"Peristedion gracile",3,"0.0",0,0
"Photonectes margarita",0,"0.0",0,0
"Phrosina semilunata",65,"4.2",6.5,0
"Platyscelus armatus",0,"0.0",0,0
"Platyscelus ovoides",9.25925925925926,"1.1",1.3,0
"Platyscelus serratulus",1.85185185185185,"0.06",0.08,0
"Pleuroncodes planipes",27.75,"1.3",23.3,33.8
"Pleuronichthys decurrens",33.33333333,"0.0",0,18
"Polybius henslowii",51.4285714285714,"0.0",1,0
"Primno macropa",2.85714285714286,"0.49",0.24,0
"Protomyctophum crockeri",2.7,"0.2",0,0
"Psenes pellucidus",3,"0.0",0,0
"Pteroctopus tetracirrhus",24,"3.4",0,0
"Pterycombus petersii",4.7,"0.1",2.2,0
"Pterygioteuthis giardi",1.63,"0.16",0,0
"Pterygioteuthis microlampas",0.332225913621262,"0.0",0,0
"Pyrosoma atlanticum",2.85714285714286,"0.0",0,0
"Pyroteuthis margaritifera",1.63,"0.16",0,0
"Ranzania laevis",2.2,"1.3",1.6,0
"Rexea prometheoides",2.2,"0.1",0.7,0
"Rhinogobiops nicholsii",0,"0.0",0,0
"Robustosergia robusta",2.85714285714286,"0.0",0,0
"Salpa maxima",4.8,"1.9",1.3,0
"Sardina pilchardus",3.4,"5.8",7.68,0
"Sardinella aurita",0.8620689655,"0.86",0.86,0
"Sardinops sagax",29.0697674418605,"3.9020657995409334",7.4327699862311,49.2
"Scaeurgus unicirrhus",5,"1.6",0,0
"Scomber japonicus",3,"0.306044376434583",0.00609243441494352,0
"Scomber scombrus",1.1,"0.4",0.2,0
"Scomberesox saurus",64.8148148148148,"2.1",26.3,246.221928802329
"Scombrolabrax heterolepis",0.5,"0.0",0,0
"Scopelarchus analis",6,"1.0",0.9,0
"Scopelogadus bispinosus",2.7,"0.4",0,0
"Scopelosaurus hoedti",0.5,"0.0",0.2,0
"Scyllarus arctus",20.7,"0.0",4.1,0
"Sebastes aleutianus",0,"0.0",0,11.8
"Sebastes brevispinis",1,"0.0",0,12.5
"Sebastes diploproa",1,"0.0",0,16.8
"Sebastes helvomaculatus",0,"0.0",0,0
"Sebastes maliger",0,"0.0",0,0
"Sebastes miniatus",0,"0.0",0,9.9
"Sebastes proriger",1,"0.0",0,14.4
"Sebastes wilsoni",1,"0.0",0,13
"Sebastes zacentrus",0,"0.0",0,19.3
"Selene setapinnis",3,"0.0",0,0
"Sepietta oweniana",2.85714285714286,"0.0",0,0
"Soestia zonaria",8.57142857142857,"0.0",0,0
"Spirula spirula",0.7,"0.1",0,0
"Spondyliosoma cantharus",1.85185185185185,"0.0",0,0
"Stenobrachius leucopsarus",7.6,"0.2",0.2,59.8
"Sternoptyx diaphana",44.4444444444444,"0.1",0,0
"Sternoptyx obscura",0.996677740863787,"0.0",0,0
"Sthenoteuthis oualaniensis",17.9,"7.0",8.5,0
"Stigmatoteuthis dofleini",2.2,"0.6",0.5,0
"Stigmatoteuthis hoylei",1.6,"0.6",1.1,0
"Streetsia challengeri",40,"0.19",0.05,0
"Strongylura exilis",0.996677740863787,"0.0",0,0
"Stylocheiron abbreviatum",16.6666666666667,"0.0",0,0
"Sudis hyalina",0.8620689655,"0.43",0.82,0
"Symbolophorus barnardi",9,"3.7",4.7,0
"Symbolophorus evermanni",0.3,"0.0",0,0
"Syngnathus californiensis",1,"0.0",0,0
"Systellaspis debilis",8,"0.0",0,0
"Taningia danae",3.3,"0.2",0,0
"Taractes asper",0,"0.0",0,0
"Tarletonbeania crenularis",100,"5.4",0,74.8
"Tetragonurus atlanticus",14.2857142857143,"0.0",0,0
"Tetragonurus cuvieri",0.6,"0.0",0,0
"Teuthowenia megalops",16.6666666666667,"0.1",0,201.816615849788
"Thaleichthys pacificus",33.33333333,"0.0",0,0
"Themisto gaudichaudii",54.3,"5.1",27.3,18
"Thyrsitoides marleyi",2.7,"0.4",0.9,0
"Thysanoteuthis rhombus",1.6,"0.0",0.6,0
"Todarodes pacificus",1.5,"0.2",0.4,0
"Todarodes sagittatus",73.7,"9.4",0.3,0
"Todaropsis eblanae",2.777777778,"0.0",13.64,0
"Trachinotus ovatus",1.85185185185185,"0.0",0,0
"Trachipterus trachypterus",0,"0.0",0,0
"Trachurus japonicus",5.6,"0.8",13.9,0
"Trachurus symmetricus",40.6976744186046,"13.69548584544759",27.5378035555447,64.7
"Trachurus trachurus",43,"28.1",42.4,120
"Tremoctopus gracilis",3.2,"0.1",1.5,0
"Tremoctopus violaceus",21.31,"7.42",0,0
"Triphoturus mexicanus",6.97674418604651,"0.4590665646518745",0.000609243441494352,0
"Vampyroteuthis infernalis",0.5,"0.1",0,2.8
"Vibilia gibbosa",0.8620689655,"0.24",0.05,0
"Vinciguerria lucetia",20.1,"0.1",4.95,0
"Walvisteuthis rancureli",26.6,"8.6",11.3,0
